episode,env_return,total_return,steps
0,3.0,3.0,400
1,6.0,6.0,274
2,2.0,2.0,400
3,2.0,2.0,400
4,4.0,4.0,400
5,3.0,3.0,400
6,6.0,6.0,272
7,2.0,2.0,400
8,1.0,1.0,400
9,3.0,3.0,400
10,4.0,4.0,400
11,4.0,4.0,400
12,1.0,1.0,400
13,1.0,1.0,400
14,3.0,3.0,400
15,6.0,6.0,201
16,6.0,6.0,151
17,5.0,5.0,400
18,5.0,5.0,400
19,2.0,2.0,400
20,5.0,5.0,400
21,5.0,5.0,400
22,6.0,6.0,394
23,3.0,3.0,400
24,6.0,6.0,134
25,5.0,5.0,400
26,3.0,3.0,400
27,6.0,6.0,332
28,5.0,5.0,400
29,3.0,3.0,400
30,4.0,4.0,400
31,6.0,6.0,264
32,0.0,0.0,400
33,6.0,6.0,340
34,6.0,6.0,355
35,6.0,6.0,208
36,5.0,5.0,400
37,2.0,2.0,400
38,6.0,6.0,140
39,6.0,6.0,136
40,4.0,4.0,400
41,4.0,4.0,400
42,5.0,5.0,400
43,6.0,6.0,314
44,5.0,5.0,400
45,6.0,6.0,158
46,5.0,5.0,400
47,6.0,6.0,187
48,2.0,2.0,400
49,6.0,6.0,371
50,5.0,5.0,400
51,5.0,5.0,400
52,3.0,3.0,400
53,6.0,6.0,269
54,3.0,3.0,400
55,2.0,2.0,400
56,1.0,1.0,400
57,5.0,5.0,400
58,6.0,6.0,350
59,3.0,3.0,400
60,6.0,6.0,331
61,3.0,3.0,400
62,4.0,4.0,400
63,6.0,6.0,87
64,5.0,5.0,400
65,3.0,3.0,400
66,5.0,5.0,400
67,6.0,6.0,107
68,3.0,3.0,400
69,5.0,5.0,400
70,3.0,3.0,400
71,6.0,6.0,176
72,6.0,6.0,222
73,1.0,1.0,400
74,5.0,5.0,400
75,6.0,6.0,155
76,5.0,5.0,400
77,4.0,4.0,400
78,6.0,6.0,246
79,6.0,6.0,56
80,3.0,3.0,400
81,5.0,5.0,400
82,3.0,3.0,400
83,3.0,3.0,400
84,6.0,6.0,309
85,6.0,6.0,245
86,6.0,6.0,97
87,5.0,5.0,400
88,6.0,6.0,239
89,6.0,6.0,147
90,5.0,5.0,400
91,5.0,5.0,400
92,6.0,6.0,236
93,3.0,3.0,400
94,6.0,6.0,132
95,6.0,6.0,199
96,6.0,6.0,74
97,6.0,6.0,37
98,6.0,6.0,180
99,3.0,3.0,400
100,6.0,6.0,113
101,4.0,4.0,400
102,6.0,6.0,141
103,6.0,6.0,345
104,6.0,6.0,80
105,6.0,6.0,163
106,6.0,6.0,337
107,6.0,6.0,123
108,6.0,6.0,195
109,5.0,5.0,400
110,6.0,6.0,108
111,6.0,6.0,378
112,6.0,6.0,104
113,4.0,4.0,400
114,6.0,6.0,307
115,3.0,3.0,400
116,6.0,6.0,372
117,6.0,6.0,125
118,6.0,6.0,299
119,6.0,6.0,114
120,6.0,6.0,334
121,6.0,6.0,315
122,6.0,6.0,130
123,6.0,6.0,179
124,6.0,6.0,331
125,6.0,6.0,281
126,6.0,6.0,287
127,6.0,6.0,82
128,6.0,6.0,202
129,6.0,6.0,143
130,3.0,3.0,400
131,4.0,4.0,400
132,6.0,6.0,292
133,6.0,6.0,132
134,6.0,6.0,78
135,3.0,3.0,400
136,5.0,5.0,400
137,6.0,6.0,268
138,6.0,6.0,239
139,6.0,6.0,262
140,6.0,6.0,168
141,6.0,6.0,257
142,3.0,3.0,400
143,6.0,6.0,133
144,6.0,6.0,148
145,6.0,6.0,81
146,5.0,5.0,400
147,6.0,6.0,197
148,6.0,6.0,205
149,6.0,6.0,192
150,6.0,6.0,220
151,6.0,6.0,238
152,5.0,5.0,400
153,6.0,6.0,76
154,6.0,6.0,117
155,6.0,6.0,237
156,6.0,6.0,45
157,6.0,6.0,219
158,6.0,6.0,221
159,6.0,6.0,138
160,6.0,6.0,135
161,6.0,6.0,83
162,6.0,6.0,225
163,6.0,6.0,63
164,6.0,6.0,88
165,6.0,6.0,84
166,6.0,6.0,273
167,6.0,6.0,136
168,6.0,6.0,144
169,6.0,6.0,37
170,6.0,6.0,85
171,6.0,6.0,97
172,6.0,6.0,103
173,6.0,6.0,367
174,6.0,6.0,308
175,6.0,6.0,79
176,6.0,6.0,238
177,6.0,6.0,61
178,6.0,6.0,141
179,6.0,6.0,205
180,6.0,6.0,85
181,6.0,6.0,156
182,6.0,6.0,219
183,6.0,6.0,71
184,6.0,6.0,217
185,6.0,6.0,87
186,6.0,6.0,57
187,6.0,6.0,56
188,6.0,6.0,163
189,6.0,6.0,77
190,6.0,6.0,159
191,6.0,6.0,150
192,6.0,6.0,64
193,6.0,6.0,87
194,6.0,6.0,70
195,6.0,6.0,157
196,6.0,6.0,83
197,6.0,6.0,77
198,6.0,6.0,71
199,6.0,6.0,124
200,6.0,6.0,78
201,6.0,6.0,83
202,6.0,6.0,87
203,6.0,6.0,115
204,6.0,6.0,41
205,6.0,6.0,37
206,6.0,6.0,191
207,6.0,6.0,189
208,6.0,6.0,47
209,6.0,6.0,85
210,6.0,6.0,69
211,6.0,6.0,43
212,6.0,6.0,37
213,6.0,6.0,43
214,6.0,6.0,37
215,6.0,6.0,40
216,6.0,6.0,106
217,6.0,6.0,50
218,6.0,6.0,128
219,6.0,6.0,130
220,6.0,6.0,55
221,6.0,6.0,138
222,6.0,6.0,60
223,6.0,6.0,129
224,6.0,6.0,35
225,6.0,6.0,39
226,6.0,6.0,55
227,6.0,6.0,69
228,6.0,6.0,89
