episode,env_return,total_return,steps
0,0.0,0.0,168
1,0.0,0.0,52
2,1.0,1.0,325
3,0.0,0.0,31
4,0.0,0.0,400
5,0.0,0.0,400
6,0.0,0.0,20
7,0.0,0.0,6
8,0.0,0.0,16
9,0.0,0.0,361
10,0.0,0.0,297
11,0.0,0.0,47
12,0.0,0.0,400
13,0.0,0.0,86
14,3.0,3.0,260
15,0.0,0.0,400
16,0.0,0.0,49
17,0.0,0.0,83
18,0.0,0.0,119
19,0.0,0.0,234
20,1.0,1.0,149
21,0.0,0.0,323
22,1.0,1.0,52
23,0.0,0.0,284
24,0.0,0.0,17
25,0.0,0.0,40
26,0.0,0.0,5
27,0.0,0.0,92
28,0.0,0.0,25
29,0.0,0.0,400
30,0.0,0.0,195
31,0.0,0.0,400
32,0.0,0.0,23
33,0.0,0.0,37
34,0.0,0.0,216
35,0.0,0.0,253
36,0.0,0.0,34
37,2.0,2.0,366
38,0.0,0.0,169
39,0.0,0.0,47
40,0.0,0.0,121
41,0.0,0.0,46
42,1.0,1.0,106
43,0.0,0.0,28
44,0.0,0.0,44
45,0.0,0.0,15
46,1.0,1.0,337
47,0.0,0.0,11
48,0.0,0.0,35
49,0.0,0.0,17
50,0.0,0.0,74
51,0.0,0.0,43
52,0.0,0.0,84
53,0.0,0.0,101
54,0.0,0.0,165
55,0.0,0.0,400
56,0.0,0.0,400
57,2.0,2.0,180
58,0.0,0.0,51
59,0.0,0.0,16
60,0.0,0.0,155
61,0.0,0.0,58
62,0.0,0.0,7
63,2.0,2.0,303
64,0.0,0.0,62
65,2.0,2.0,400
66,0.0,0.0,29
67,0.0,0.0,188
68,1.0,1.0,114
69,0.0,0.0,52
70,0.0,0.0,57
71,0.0,0.0,400
72,0.0,0.0,400
73,0.0,0.0,54
74,0.0,0.0,56
75,0.0,0.0,13
76,3.0,3.0,112
77,0.0,0.0,383
78,0.0,0.0,70
79,0.0,0.0,28
80,0.0,0.0,25
81,0.0,0.0,87
82,0.0,0.0,31
83,0.0,0.0,271
84,0.0,0.0,171
85,0.0,0.0,344
86,0.0,0.0,43
87,0.0,0.0,46
88,0.0,0.0,323
89,0.0,0.0,128
90,0.0,0.0,27
91,0.0,0.0,16
92,0.0,0.0,400
93,0.0,0.0,8
94,1.0,1.0,108
95,3.0,3.0,83
96,0.0,0.0,28
97,1.0,1.0,340
98,0.0,0.0,33
99,0.0,0.0,81
100,0.0,0.0,29
101,0.0,0.0,48
102,0.0,0.0,400
103,0.0,0.0,60
104,1.0,1.0,51
105,1.0,1.0,37
106,1.0,1.0,120
107,0.0,0.0,37
108,0.0,0.0,15
109,0.0,0.0,30
110,0.0,0.0,19
111,3.0,3.0,70
112,0.0,0.0,18
113,0.0,0.0,25
114,0.0,0.0,400
115,0.0,0.0,112
116,0.0,0.0,46
117,0.0,0.0,18
118,0.0,0.0,13
119,1.0,1.0,25
120,0.0,0.0,14
121,0.0,0.0,17
122,2.0,2.0,149
123,0.0,0.0,32
124,2.0,2.0,150
125,1.0,1.0,65
126,1.0,1.0,79
127,0.0,0.0,22
128,1.0,1.0,168
129,1.0,1.0,21
130,0.0,0.0,45
131,0.0,0.0,30
132,0.0,0.0,46
133,0.0,0.0,21
134,2.0,2.0,61
135,0.0,0.0,42
136,0.0,0.0,30
137,2.0,2.0,81
138,1.0,1.0,54
139,0.0,0.0,16
140,2.0,2.0,110
141,0.0,0.0,36
142,3.0,3.0,50
143,0.0,0.0,25
144,3.0,3.0,196
145,0.0,0.0,25
146,0.0,0.0,22
147,2.0,2.0,74
148,1.0,1.0,54
149,1.0,1.0,39
150,1.0,1.0,122
151,0.0,0.0,18
152,0.0,0.0,11
153,0.0,0.0,19
154,0.0,0.0,29
155,0.0,0.0,10
156,0.0,0.0,7
157,3.0,3.0,61
158,0.0,0.0,5
159,3.0,3.0,68
160,0.0,0.0,12
161,0.0,0.0,18
162,0.0,0.0,41
163,0.0,0.0,53
164,0.0,0.0,12
165,2.0,2.0,186
166,0.0,0.0,29
167,0.0,0.0,46
168,2.0,2.0,69
169,3.0,3.0,36
170,1.0,1.0,82
171,0.0,0.0,39
172,0.0,0.0,45
173,0.0,0.0,20
174,0.0,0.0,18
175,3.0,3.0,63
176,0.0,0.0,26
177,0.0,0.0,71
178,0.0,0.0,25
179,3.0,3.0,61
180,0.0,0.0,26
181,0.0,0.0,22
182,0.0,0.0,6
183,3.0,3.0,50
184,0.0,0.0,44
185,0.0,0.0,26
186,0.0,0.0,114
187,0.0,0.0,38
188,0.0,0.0,30
189,0.0,0.0,10
190,0.0,0.0,19
191,3.0,3.0,71
192,0.0,0.0,12
193,3.0,3.0,28
194,3.0,3.0,96
195,0.0,0.0,19
196,1.0,1.0,46
197,0.0,0.0,39
198,0.0,0.0,18
199,3.0,3.0,117
200,0.0,0.0,25
201,3.0,3.0,37
202,0.0,0.0,37
203,2.0,2.0,41
204,3.0,3.0,51
205,3.0,3.0,80
206,0.0,0.0,17
207,0.0,0.0,11
208,2.0,2.0,400
209,3.0,3.0,44
210,0.0,0.0,17
211,0.0,0.0,10
212,3.0,3.0,20
213,3.0,3.0,76
214,0.0,0.0,16
215,3.0,3.0,45
216,2.0,2.0,132
217,0.0,0.0,17
218,3.0,3.0,27
219,3.0,3.0,71
220,0.0,0.0,21
221,0.0,0.0,10
222,3.0,3.0,37
223,0.0,0.0,12
224,2.0,2.0,42
225,0.0,0.0,5
226,0.0,0.0,30
227,3.0,3.0,92
228,0.0,0.0,38
229,3.0,3.0,30
230,0.0,0.0,11
231,2.0,2.0,112
232,0.0,0.0,23
233,0.0,0.0,11
234,3.0,3.0,30
235,0.0,0.0,13
236,0.0,0.0,35
237,3.0,3.0,42
238,3.0,3.0,64
239,0.0,0.0,10
240,3.0,3.0,44
241,0.0,0.0,13
242,0.0,0.0,72
243,3.0,3.0,55
244,0.0,0.0,40
245,0.0,0.0,25
246,3.0,3.0,54
247,3.0,3.0,85
248,0.0,0.0,19
249,3.0,3.0,30
250,0.0,0.0,9
251,3.0,3.0,43
252,3.0,3.0,42
253,1.0,1.0,25
254,0.0,0.0,20
255,3.0,3.0,41
256,3.0,3.0,39
257,0.0,0.0,30
258,3.0,3.0,41
259,3.0,3.0,37
260,3.0,3.0,48
261,1.0,1.0,37
262,2.0,2.0,46
263,0.0,0.0,11
264,3.0,3.0,33
265,0.0,0.0,44
266,3.0,3.0,30
267,0.0,0.0,18
268,0.0,0.0,26
269,3.0,3.0,47
270,0.0,0.0,6
271,3.0,3.0,58
272,3.0,3.0,47
273,1.0,1.0,40
274,2.0,2.0,91
275,3.0,3.0,53
276,3.0,3.0,80
277,0.0,0.0,16
278,2.0,2.0,59
279,3.0,3.0,49
280,3.0,3.0,56
281,2.0,2.0,53
282,3.0,3.0,38
283,3.0,3.0,52
284,3.0,3.0,62
285,3.0,3.0,42
286,3.0,3.0,37
287,3.0,3.0,41
288,3.0,3.0,69
289,0.0,0.0,6
290,0.0,0.0,5
291,0.0,0.0,34
292,3.0,3.0,30
293,0.0,0.0,6
294,3.0,3.0,67
295,1.0,1.0,32
296,0.0,0.0,11
297,3.0,3.0,66
298,0.0,0.0,12
299,0.0,0.0,24
300,0.0,0.0,4
301,0.0,0.0,4
302,0.0,0.0,17
303,0.0,0.0,10
304,3.0,3.0,40
305,0.0,0.0,19
306,3.0,3.0,75
307,3.0,3.0,20
308,0.0,0.0,4
309,0.0,0.0,27
310,0.0,0.0,9
311,3.0,3.0,28
312,3.0,3.0,67
313,3.0,3.0,49
314,3.0,3.0,51
315,3.0,3.0,28
316,3.0,3.0,55
317,0.0,0.0,12
318,3.0,3.0,44
319,0.0,0.0,8
320,3.0,3.0,26
321,3.0,3.0,20
322,3.0,3.0,34
323,3.0,3.0,38
324,3.0,3.0,24
325,0.0,0.0,14
326,0.0,0.0,5
327,3.0,3.0,46
328,0.0,0.0,12
329,3.0,3.0,31
330,0.0,0.0,22
331,0.0,0.0,7
332,3.0,3.0,32
333,0.0,0.0,10
334,0.0,0.0,12
335,3.0,3.0,40
336,3.0,3.0,20
337,3.0,3.0,39
338,0.0,0.0,13
339,3.0,3.0,44
340,0.0,0.0,24
341,0.0,0.0,34
342,0.0,0.0,21
343,0.0,0.0,4
344,0.0,0.0,14
345,3.0,3.0,46
346,0.0,0.0,14
347,0.0,0.0,11
348,3.0,3.0,30
349,3.0,3.0,44
350,3.0,3.0,27
351,3.0,3.0,36
352,0.0,0.0,8
353,0.0,0.0,15
354,3.0,3.0,15
355,3.0,3.0,34
356,0.0,0.0,11
357,0.0,0.0,6
358,1.0,1.0,35
359,0.0,0.0,9
360,3.0,3.0,27
361,3.0,3.0,49
362,3.0,3.0,46
363,0.0,0.0,11
364,3.0,3.0,37
365,0.0,0.0,23
366,3.0,3.0,31
367,0.0,0.0,11
368,3.0,3.0,24
369,3.0,3.0,32
370,3.0,3.0,33
371,3.0,3.0,47
372,3.0,3.0,75
373,3.0,3.0,20
374,0.0,0.0,10
375,0.0,0.0,27
376,0.0,0.0,20
377,0.0,0.0,19
378,0.0,0.0,10
379,3.0,3.0,21
380,3.0,3.0,33
381,3.0,3.0,33
382,0.0,0.0,15
383,3.0,3.0,48
384,3.0,3.0,20
385,0.0,0.0,13
386,0.0,0.0,18
387,3.0,3.0,34
388,3.0,3.0,35
389,0.0,0.0,8
390,3.0,3.0,46
391,0.0,0.0,14
392,3.0,3.0,25
393,3.0,3.0,17
394,3.0,3.0,49
395,3.0,3.0,41
396,3.0,3.0,27
397,0.0,0.0,11
398,0.0,0.0,8
399,0.0,0.0,8
400,3.0,3.0,26
401,3.0,3.0,27
402,3.0,3.0,23
403,3.0,3.0,25
404,0.0,0.0,24
405,3.0,3.0,60
406,0.0,0.0,10
407,3.0,3.0,31
408,3.0,3.0,20
409,0.0,0.0,23
410,3.0,3.0,29
411,0.0,0.0,6
412,3.0,3.0,17
413,3.0,3.0,28
414,3.0,3.0,53
415,3.0,3.0,32
416,3.0,3.0,38
417,0.0,0.0,16
418,2.0,2.0,171
419,2.0,2.0,32
420,3.0,3.0,42
421,0.0,0.0,6
422,3.0,3.0,30
423,3.0,3.0,30
424,3.0,3.0,28
425,3.0,3.0,31
426,3.0,3.0,21
427,0.0,0.0,15
428,3.0,3.0,35
429,3.0,3.0,26
430,3.0,3.0,27
431,3.0,3.0,23
432,3.0,3.0,21
433,3.0,3.0,34
434,3.0,3.0,35
435,3.0,3.0,48
436,2.0,2.0,21
437,3.0,3.0,23
438,3.0,3.0,21
439,3.0,3.0,55
440,3.0,3.0,37
441,3.0,3.0,26
442,3.0,3.0,29
443,3.0,3.0,22
444,0.0,0.0,6
445,0.0,0.0,8
446,3.0,3.0,26
447,3.0,3.0,35
448,3.0,3.0,38
449,3.0,3.0,25
450,0.0,0.0,13
451,0.0,0.0,14
452,3.0,3.0,37
453,3.0,3.0,25
454,0.0,0.0,4
455,3.0,3.0,41
456,3.0,3.0,22
457,0.0,0.0,8
458,3.0,3.0,24
459,0.0,0.0,11
460,3.0,3.0,24
461,3.0,3.0,26
462,0.0,0.0,4
463,3.0,3.0,19
464,3.0,3.0,25
465,3.0,3.0,27
466,0.0,0.0,8
467,3.0,3.0,25
468,0.0,0.0,17
469,3.0,3.0,23
470,0.0,0.0,5
471,3.0,3.0,21
472,3.0,3.0,34
473,3.0,3.0,22
474,3.0,3.0,21
475,3.0,3.0,23
476,3.0,3.0,21
477,3.0,3.0,27
478,3.0,3.0,32
479,3.0,3.0,20
480,3.0,3.0,25
481,0.0,0.0,14
482,3.0,3.0,19
483,3.0,3.0,21
484,3.0,3.0,19
485,3.0,3.0,41
486,3.0,3.0,21
487,0.0,0.0,4
488,3.0,3.0,21
489,3.0,3.0,28
490,3.0,3.0,25
491,3.0,3.0,27
492,3.0,3.0,18
493,3.0,3.0,18
494,0.0,0.0,5
495,3.0,3.0,22
496,3.0,3.0,23
497,0.0,0.0,10
498,3.0,3.0,21
499,0.0,0.0,9
500,3.0,3.0,25
501,3.0,3.0,26
502,3.0,3.0,17
503,0.0,0.0,15
504,2.0,2.0,24
505,3.0,3.0,25
506,3.0,3.0,23
507,3.0,3.0,17
508,3.0,3.0,18
509,0.0,0.0,8
510,3.0,3.0,17
511,3.0,3.0,17
512,3.0,3.0,27
513,3.0,3.0,22
514,3.0,3.0,24
515,0.0,0.0,9
516,0.0,0.0,8
517,3.0,3.0,23
518,3.0,3.0,27
519,3.0,3.0,27
520,0.0,0.0,8
521,3.0,3.0,23
522,3.0,3.0,18
523,0.0,0.0,8
524,3.0,3.0,38
525,3.0,3.0,21
526,0.0,0.0,9
527,0.0,0.0,13
528,0.0,0.0,12
529,0.0,0.0,12
530,3.0,3.0,27
531,3.0,3.0,16
532,0.0,0.0,8
533,3.0,3.0,27
534,3.0,3.0,23
535,3.0,3.0,22
536,3.0,3.0,17
537,3.0,3.0,15
538,3.0,3.0,24
539,3.0,3.0,28
540,3.0,3.0,25
541,3.0,3.0,18
542,3.0,3.0,22
543,0.0,0.0,8
544,3.0,3.0,29
545,3.0,3.0,25
546,3.0,3.0,15
547,0.0,0.0,4
548,3.0,3.0,18
549,3.0,3.0,23
550,3.0,3.0,20
551,0.0,0.0,10
552,3.0,3.0,15
553,3.0,3.0,22
554,0.0,0.0,10
555,3.0,3.0,22
556,3.0,3.0,25
557,3.0,3.0,15
558,0.0,0.0,12
559,3.0,3.0,18
560,3.0,3.0,21
561,3.0,3.0,33
562,3.0,3.0,16
563,3.0,3.0,19
564,3.0,3.0,22
565,3.0,3.0,17
566,3.0,3.0,25
567,3.0,3.0,21
568,0.0,0.0,6
569,3.0,3.0,15
570,3.0,3.0,17
571,3.0,3.0,16
572,3.0,3.0,15
573,0.0,0.0,13
574,3.0,3.0,26
575,3.0,3.0,20
576,3.0,3.0,17
577,0.0,0.0,10
578,3.0,3.0,20
579,3.0,3.0,21
580,3.0,3.0,20
581,3.0,3.0,19
582,3.0,3.0,21
583,3.0,3.0,20
584,3.0,3.0,22
585,3.0,3.0,18
586,3.0,3.0,17
587,3.0,3.0,19
588,0.0,0.0,14
589,3.0,3.0,24
590,3.0,3.0,16
591,0.0,0.0,6
592,3.0,3.0,25
593,3.0,3.0,25
594,3.0,3.0,19
595,3.0,3.0,17
596,3.0,3.0,17
597,3.0,3.0,20
598,3.0,3.0,21
599,3.0,3.0,24
600,3.0,3.0,17
601,3.0,3.0,24
602,3.0,3.0,19
603,3.0,3.0,26
604,3.0,3.0,15
605,3.0,3.0,24
606,3.0,3.0,15
607,3.0,3.0,15
608,3.0,3.0,15
609,3.0,3.0,15
610,3.0,3.0,25
611,3.0,3.0,15
612,3.0,3.0,20
613,3.0,3.0,17
614,3.0,3.0,15
615,3.0,3.0,17
616,3.0,3.0,19
617,3.0,3.0,19
618,0.0,0.0,6
619,3.0,3.0,17
620,3.0,3.0,17
621,3.0,3.0,19
622,3.0,3.0,18
623,3.0,3.0,19
624,3.0,3.0,17
625,3.0,3.0,15
626,3.0,3.0,20
627,3.0,3.0,15
628,3.0,3.0,15
629,3.0,3.0,15
630,3.0,3.0,19
631,3.0,3.0,17
632,3.0,3.0,16
633,3.0,3.0,18
634,3.0,3.0,16
635,3.0,3.0,19
636,3.0,3.0,15
637,3.0,3.0,17
638,3.0,3.0,21
639,3.0,3.0,17
640,3.0,3.0,19
641,3.0,3.0,17
642,3.0,3.0,17
643,3.0,3.0,15
644,3.0,3.0,19
645,3.0,3.0,19
646,3.0,3.0,17
647,3.0,3.0,18
648,3.0,3.0,17
649,3.0,3.0,17
650,3.0,3.0,20
651,3.0,3.0,17
652,3.0,3.0,18
653,3.0,3.0,17
654,3.0,3.0,16
655,3.0,3.0,15
656,3.0,3.0,19
657,3.0,3.0,15
658,3.0,3.0,21
659,3.0,3.0,15
660,3.0,3.0,15
661,3.0,3.0,16
662,0.0,0.0,6
663,3.0,3.0,20
664,0.0,0.0,6
665,3.0,3.0,15
666,3.0,3.0,21
667,0.0,0.0,4
668,3.0,3.0,18
669,3.0,3.0,15
670,3.0,3.0,15
671,3.0,3.0,15
672,3.0,3.0,17
673,3.0,3.0,17
674,3.0,3.0,17
675,3.0,3.0,15
676,3.0,3.0,17
677,3.0,3.0,17
678,3.0,3.0,15
679,3.0,3.0,18
680,3.0,3.0,20
681,3.0,3.0,17
682,3.0,3.0,23
683,3.0,3.0,18
684,3.0,3.0,15
685,3.0,3.0,17
686,3.0,3.0,16
687,3.0,3.0,17
688,3.0,3.0,15
689,3.0,3.0,17
690,3.0,3.0,19
691,3.0,3.0,15
692,3.0,3.0,17
693,3.0,3.0,15
694,3.0,3.0,17
695,3.0,3.0,15
