episode,env_return,total_return,steps
0,0.0,0.0,8
1,0.0,0.0,3
2,0.0,0.0,9
3,0.0,0.0,14
4,0.0,0.0,2
5,0.0,0.0,12
6,0.0,0.0,4
7,0.0,0.0,10
8,0.0,0.0,8
9,0.0,0.0,58
10,0.0,0.0,9
11,0.0,0.0,4
12,1.0,1.0,75
13,0.0,0.0,7
14,1.0,1.0,104
15,1.0,1.0,307
16,0.0,0.0,1
17,1.0,1.0,128
18,0.0,0.0,6
19,0.0,0.0,5
20,0.0,0.0,16
21,0.0,0.0,5
22,1.0,1.0,108
23,1.0,1.0,103
24,0.0,0.0,10
25,2.0,2.0,101
26,0.0,0.0,67
27,0.0,0.0,29
28,2.0,2.0,97
29,0.0,0.0,49
30,0.0,0.0,215
31,2.0,2.0,213
32,0.0,0.0,2
33,0.0,0.0,157
34,0.0,0.0,41
35,0.0,0.0,43
36,1.0,1.0,213
37,1.0,1.0,73
38,0.0,0.0,4
39,0.0,0.0,56
40,0.0,0.0,14
41,0.0,0.0,60
42,0.0,0.0,10
43,1.0,1.0,241
44,0.0,0.0,16
45,0.0,0.0,16
46,0.0,0.0,8
47,1.0,1.0,43
48,0.0,0.0,34
49,0.0,0.0,3
50,1.0,1.0,69
51,2.0,2.0,333
52,1.0,1.0,123
53,0.0,0.0,45
54,0.0,0.0,61
55,0.0,0.0,61
56,1.0,1.0,92
57,1.0,1.0,116
58,1.0,1.0,71
59,1.0,1.0,129
60,0.0,0.0,1
61,1.0,1.0,137
62,0.0,0.0,31
63,0.0,0.0,45
64,0.0,0.0,2
65,1.0,1.0,226
66,0.0,0.0,5
67,0.0,0.0,93
68,0.0,0.0,8
69,1.0,1.0,166
70,0.0,0.0,120
71,0.0,0.0,3
72,1.0,1.0,71
73,0.0,0.0,35
74,0.0,0.0,29
75,1.0,1.0,28
76,1.0,1.0,52
77,0.0,0.0,11
78,0.0,0.0,25
79,0.0,0.0,6
80,0.0,0.0,71
81,0.0,0.0,30
82,0.0,0.0,13
83,1.0,1.0,17
84,0.0,0.0,131
85,2.0,2.0,243
86,0.0,0.0,16
87,0.0,0.0,10
88,0.0,0.0,39
89,0.0,0.0,44
90,0.0,0.0,14
91,0.0,0.0,72
92,0.0,0.0,4
93,0.0,0.0,9
94,1.0,1.0,27
95,0.0,0.0,11
96,0.0,0.0,2
97,0.0,0.0,65
98,0.0,0.0,91
99,0.0,0.0,3
100,2.0,2.0,120
101,0.0,0.0,14
102,0.0,0.0,10
103,0.0,0.0,102
104,1.0,1.0,44
105,0.0,0.0,20
106,0.0,0.0,242
107,0.0,0.0,9
108,0.0,0.0,3
109,0.0,0.0,46
110,0.0,0.0,112
111,0.0,0.0,2
112,1.0,1.0,387
113,0.0,0.0,131
114,0.0,0.0,16
115,0.0,0.0,43
116,0.0,0.0,4
117,0.0,0.0,47
118,1.0,1.0,304
119,0.0,0.0,8
120,1.0,1.0,83
121,0.0,0.0,53
122,1.0,1.0,60
123,0.0,0.0,92
124,1.0,1.0,56
125,0.0,0.0,44
126,2.0,2.0,400
127,0.0,0.0,6
128,0.0,0.0,14
129,1.0,1.0,90
130,1.0,1.0,86
131,2.0,2.0,312
132,0.0,0.0,7
133,0.0,0.0,12
134,0.0,0.0,1
135,0.0,0.0,60
136,2.0,2.0,74
137,1.0,1.0,39
138,0.0,0.0,21
139,0.0,0.0,2
