episode,env_return,total_return,steps
0,0.0,0.0,2
1,1.0,1.0,44
2,0.0,0.0,11
3,0.0,0.0,52
4,3.0,3.0,128
5,1.0,1.0,48
6,1.0,1.0,86
7,0.0,0.0,101
8,1.0,1.0,12
9,1.0,1.0,116
10,0.0,0.0,7
11,0.0,0.0,24
12,1.0,1.0,73
13,0.0,0.0,52
14,1.0,1.0,113
15,1.0,1.0,108
16,1.0,1.0,174
17,0.0,0.0,17
18,0.0,0.0,2
19,2.0,2.0,117
20,1.0,1.0,114
21,0.0,0.0,4
22,0.0,0.0,12
23,1.0,1.0,74
24,0.0,0.0,193
25,1.0,1.0,235
26,0.0,0.0,2
27,0.0,0.0,32
28,1.0,1.0,46
29,0.0,0.0,3
30,0.0,0.0,1
31,1.0,1.0,53
32,1.0,1.0,80
33,0.0,0.0,9
34,0.0,0.0,29
35,1.0,1.0,162
36,0.0,0.0,29
37,0.0,0.0,70
38,0.0,0.0,43
39,0.0,0.0,1
40,0.0,0.0,14
41,0.0,0.0,163
42,0.0,0.0,96
43,0.0,0.0,22
44,1.0,1.0,49
45,0.0,0.0,78
46,0.0,0.0,28
47,0.0,0.0,64
48,0.0,0.0,3
49,0.0,0.0,16
50,3.0,3.0,400
51,0.0,0.0,14
52,0.0,0.0,11
53,0.0,0.0,9
54,1.0,1.0,112
55,0.0,0.0,9
56,0.0,0.0,46
57,0.0,0.0,18
58,0.0,0.0,2
59,0.0,0.0,29
60,0.0,0.0,36
61,1.0,1.0,89
62,1.0,1.0,146
63,1.0,1.0,252
64,0.0,0.0,85
65,1.0,1.0,71
66,0.0,0.0,13
67,0.0,0.0,2
68,0.0,0.0,5
69,0.0,0.0,26
70,0.0,0.0,9
71,0.0,0.0,60
72,2.0,2.0,84
73,1.0,1.0,321
74,0.0,0.0,28
75,0.0,0.0,2
76,0.0,0.0,21
77,0.0,0.0,34
78,1.0,1.0,67
79,1.0,1.0,268
80,2.0,2.0,393
81,0.0,0.0,7
82,0.0,0.0,16
83,1.0,1.0,73
84,0.0,0.0,15
85,0.0,0.0,6
86,0.0,0.0,20
87,2.0,2.0,139
88,1.0,1.0,218
89,0.0,0.0,15
90,0.0,0.0,1
