episode,env_return,total_return,steps
0,4.0,4.0,400
1,1.0,1.0,400
2,7.0,7.0,400
3,7.0,7.0,400
4,5.0,5.0,400
5,4.0,4.0,400
6,2.0,2.0,400
7,4.0,4.0,400
8,4.0,4.0,400
9,5.0,5.0,400
10,4.0,4.0,400
11,4.0,4.0,400
12,3.0,3.0,400
13,2.0,2.0,400
14,3.0,3.0,400
15,6.0,6.0,400
16,5.0,5.0,400
17,5.0,5.0,400
18,2.0,2.0,400
19,2.0,2.0,400
20,2.0,2.0,400
21,7.0,7.0,400
22,5.0,5.0,400
23,5.0,5.0,400
24,4.0,4.0,400
25,4.0,4.0,400
26,6.0,6.0,400
27,8.0,8.0,400
28,3.0,3.0,400
29,2.0,2.0,400
30,3.0,3.0,400
31,6.0,6.0,400
32,2.0,2.0,400
33,5.0,5.0,400
34,6.0,6.0,400
35,1.0,1.0,400
36,5.0,5.0,400
37,5.0,5.0,400
38,4.0,4.0,400
39,3.0,3.0,400
40,3.0,3.0,400
41,8.0,8.0,400
42,3.0,3.0,400
43,5.0,5.0,400
44,5.0,5.0,400
45,4.0,4.0,400
46,5.0,5.0,400
47,6.0,6.0,400
48,2.0,2.0,400
49,3.0,3.0,400
50,7.0,7.0,400
51,5.0,5.0,400
52,5.0,5.0,400
53,6.0,6.0,400
54,5.0,5.0,400
55,5.0,5.0,400
56,4.0,4.0,400
57,5.0,5.0,400
58,6.0,6.0,400
59,4.0,4.0,400
60,2.0,2.0,400
61,6.0,6.0,400
62,2.0,2.0,400
63,6.0,6.0,400
64,5.0,5.0,400
65,4.0,4.0,400
66,6.0,6.0,400
67,4.0,4.0,400
68,2.0,2.0,400
69,2.0,2.0,400
70,7.0,7.0,400
71,2.0,2.0,400
72,3.0,3.0,400
73,5.0,5.0,400
74,8.0,8.0,400
75,2.0,2.0,400
76,6.0,6.0,400
77,7.0,7.0,400
78,5.0,5.0,400
79,6.0,6.0,400
80,5.0,5.0,400
81,5.0,5.0,400
82,3.0,3.0,400
83,5.0,5.0,400
84,7.0,7.0,400
85,4.0,4.0,400
86,2.0,2.0,400
87,8.0,8.0,400
88,3.0,3.0,400
89,4.0,4.0,400
90,5.0,5.0,400
91,8.0,8.0,400
92,5.0,5.0,400
93,5.0,5.0,400
94,3.0,3.0,400
95,7.0,7.0,400
96,6.0,6.0,400
97,5.0,5.0,400
98,6.0,6.0,400
99,6.0,6.0,400
100,4.0,4.0,400
101,5.0,5.0,400
102,4.0,4.0,400
103,6.0,6.0,400
104,6.0,6.0,400
105,6.0,6.0,400
106,4.0,4.0,400
107,8.0,8.0,400
108,7.0,7.0,400
109,8.0,8.0,400
110,6.0,6.0,400
111,8.0,8.0,400
112,7.0,7.0,400
113,5.0,5.0,400
114,6.0,6.0,400
115,6.0,6.0,400
116,4.0,4.0,400
117,5.0,5.0,400
118,3.0,3.0,400
119,4.0,4.0,400
