episode,env_return,total_return,steps
0,2.0,2.0,400
1,1.0,1.0,400
2,7.0,7.0,400
3,7.0,7.0,400
4,5.0,5.0,400
5,4.0,4.0,400
6,2.0,2.0,400
7,4.0,4.0,400
8,4.0,4.0,400
9,5.0,5.0,400
10,2.0,2.0,400
11,4.0,4.0,400
12,3.0,3.0,400
13,2.0,2.0,400
14,3.0,3.0,400
15,6.0,6.0,400
16,5.0,5.0,400
17,5.0,5.0,400
18,2.0,2.0,400
19,6.0,6.0,400
20,2.0,2.0,400
21,7.0,7.0,400
22,4.0,4.0,400
23,1.0,1.0,400
24,3.0,3.0,400
25,4.0,4.0,400
26,7.0,7.0,400
27,8.0,8.0,400
28,5.0,5.0,400
29,2.0,2.0,400
30,2.0,2.0,400
31,6.0,6.0,400
32,7.0,7.0,400
33,5.0,5.0,400
34,3.0,3.0,400
35,1.0,1.0,400
36,4.0,4.0,400
37,5.0,5.0,400
38,5.0,5.0,400
39,5.0,5.0,400
40,3.0,3.0,400
41,7.0,7.0,400
42,3.0,3.0,400
43,5.0,5.0,400
44,5.0,5.0,400
45,7.0,7.0,400
46,6.0,6.0,400
47,5.0,5.0,400
48,2.0,2.0,400
49,3.0,3.0,400
50,5.0,5.0,400
51,4.0,4.0,400
52,3.0,3.0,400
53,7.0,7.0,400
54,2.0,2.0,400
55,5.0,5.0,400
56,3.0,3.0,400
57,5.0,5.0,400
58,3.0,3.0,400
59,3.0,3.0,400
60,1.0,1.0,400
61,6.0,6.0,400
62,4.0,4.0,400
63,6.0,6.0,400
64,5.0,5.0,400
65,4.0,4.0,400
66,3.0,3.0,400
67,3.0,3.0,400
68,4.0,4.0,400
69,2.0,2.0,400
70,2.0,2.0,400
71,5.0,5.0,400
72,4.0,4.0,400
73,6.0,6.0,400
74,8.0,8.0,400
75,3.0,3.0,400
76,6.0,6.0,400
77,6.0,6.0,400
78,3.0,3.0,400
79,5.0,5.0,400
80,5.0,5.0,400
81,2.0,2.0,400
82,4.0,4.0,400
83,5.0,5.0,400
84,5.0,5.0,400
85,5.0,5.0,400
86,5.0,5.0,400
87,5.0,5.0,400
88,4.0,4.0,400
89,5.0,5.0,400
90,5.0,5.0,400
91,6.0,6.0,400
92,5.0,5.0,400
93,5.0,5.0,400
94,3.0,3.0,400
95,2.0,2.0,400
96,2.0,2.0,400
97,5.0,5.0,400
98,8.0,8.0,400
99,6.0,6.0,400
100,3.0,3.0,400
101,4.0,4.0,400
102,2.0,2.0,400
103,7.0,7.0,400
104,7.0,7.0,400
105,6.0,6.0,400
