episode,env_return,total_return
0,2.0,2.0
1,1.0,1.0
2,5.0,5.0
3,6.0,6.0
4,2.0,2.0
5,5.0,5.0
6,1.0,1.0
7,4.0,4.0
8,2.0,2.0
9,4.0,4.0
10,3.0,3.0
11,2.0,2.0
12,2.0,2.0
13,4.0,4.0
14,3.0,3.0
15,6.0,6.0
16,5.0,5.0
17,3.0,3.0
18,2.0,2.0
19,2.0,2.0
20,4.0,4.0
21,4.0,4.0
22,5.0,5.0
23,1.0,1.0
24,3.0,3.0
25,3.0,3.0
26,2.0,2.0
27,4.0,4.0
28,4.0,4.0
29,1.0,1.0
30,1.0,1.0
31,6.0,6.0
32,1.0,1.0
33,3.0,3.0
34,3.0,3.0
35,5.0,5.0
36,3.0,3.0
37,4.0,4.0
38,2.0,2.0
39,6.0,6.0
40,4.0,4.0
41,5.0,5.0
42,2.0,2.0
43,5.0,5.0
44,3.0,3.0
45,6.0,6.0
46,7.0,7.0
47,5.0,5.0
48,6.0,6.0
49,4.0,4.0
50,5.0,5.0
51,5.0,5.0
52,4.0,4.0
53,6.0,6.0
54,2.0,2.0
55,4.0,4.0
56,4.0,4.0
57,7.0,7.0
58,2.0,2.0
59,4.0,4.0
60,3.0,3.0
61,3.0,3.0
62,5.0,5.0
63,2.0,2.0
64,2.0,2.0
65,4.0,4.0
66,2.0,2.0
67,4.0,4.0
68,3.0,3.0
69,2.0,2.0
70,4.0,4.0
71,5.0,5.0
72,4.0,4.0
73,6.0,6.0
74,4.0,4.0
75,2.0,2.0
76,4.0,4.0
77,2.0,2.0
78,4.0,4.0
79,2.0,2.0
80,3.0,3.0
81,4.0,4.0
82,5.0,5.0
83,2.0,2.0
84,4.0,4.0
85,6.0,6.0
86,4.0,4.0
87,5.0,5.0
88,4.0,4.0
89,5.0,5.0
90,5.0,5.0
91,6.0,6.0
92,3.0,3.0
93,4.0,4.0
94,2.0,2.0
95,4.0,4.0
96,5.0,5.0
97,6.0,6.0
98,4.0,4.0
99,4.0,4.0
100,3.0,3.0
101,4.0,4.0
102,4.0,4.0
103,4.0,4.0
104,5.0,5.0
105,4.0,4.0
106,6.0,6.0
107,4.0,4.0
108,7.0,7.0
109,4.0,4.0
110,4.0,4.0
111,6.0,6.0
112,4.0,4.0
113,6.0,6.0
114,5.0,5.0
115,5.0,5.0
116,5.0,5.0
117,7.0,7.0
118,5.0,5.0
119,3.0,3.0
120,4.0,4.0
121,5.0,5.0
122,6.0,6.0
123,3.0,3.0
124,4.0,4.0
125,5.0,5.0
126,5.0,5.0
127,6.0,6.0
128,6.0,6.0
129,5.0,5.0
130,5.0,5.0
131,4.0,4.0
132,7.0,7.0
133,7.0,7.0
134,6.0,6.0
135,4.0,4.0
136,6.0,6.0
137,5.0,5.0
138,4.0,4.0
139,3.0,3.0
140,3.0,3.0
141,4.0,4.0
142,5.0,5.0
143,6.0,6.0
144,5.0,5.0
145,5.0,5.0
146,5.0,5.0
147,5.0,5.0
148,6.0,6.0
149,3.0,3.0
150,3.0,3.0
151,6.0,6.0
152,4.0,4.0
153,5.0,5.0
154,7.0,7.0
155,6.0,6.0
156,5.0,5.0
157,7.0,7.0
158,5.0,5.0
159,7.0,7.0
160,5.0,5.0
161,5.0,5.0
162,4.0,4.0
163,5.0,5.0
164,5.0,5.0
165,5.0,5.0
166,6.0,6.0
167,6.0,6.0
168,6.0,6.0
169,5.0,5.0
170,5.0,5.0
171,5.0,5.0
172,7.0,7.0
173,5.0,5.0
174,5.0,5.0
175,3.0,3.0
176,5.0,5.0
177,4.0,4.0
178,5.0,5.0
179,5.0,5.0
180,7.0,7.0
181,7.0,7.0
182,7.0,7.0
183,5.0,5.0
184,5.0,5.0
185,5.0,5.0
186,6.0,6.0
187,6.0,6.0
188,6.0,6.0
189,5.0,5.0
190,5.0,5.0
191,4.0,4.0
192,5.0,5.0
193,7.0,7.0
194,4.0,4.0
195,7.0,7.0
196,5.0,5.0
197,5.0,5.0
198,5.0,5.0
199,5.0,5.0
200,7.0,7.0
201,7.0,7.0
202,5.0,5.0
203,5.0,5.0
204,5.0,5.0
205,5.0,5.0
206,6.0,6.0
207,5.0,5.0
208,7.0,7.0
209,5.0,5.0
210,7.0,7.0
211,4.0,4.0
212,5.0,5.0
213,5.0,5.0
214,5.0,5.0
215,5.0,5.0
216,5.0,5.0
217,7.0,7.0
218,5.0,5.0
219,7.0,7.0
220,5.0,5.0
221,7.0,7.0
222,5.0,5.0
223,7.0,7.0
224,5.0,5.0
225,5.0,5.0
226,6.0,6.0
227,5.0,5.0
228,5.0,5.0
229,5.0,5.0
230,5.0,5.0
231,5.0,5.0
232,5.0,5.0
233,7.0,7.0
234,5.0,5.0
235,7.0,7.0
236,5.0,5.0
237,6.0,6.0
238,7.0,7.0
239,5.0,5.0
240,5.0,5.0
241,7.0,7.0
242,7.0,7.0
243,5.0,5.0
244,5.0,5.0
245,5.0,5.0
246,5.0,5.0
247,7.0,7.0
248,7.0,7.0
249,7.0,7.0
250,7.0,7.0
251,7.0,7.0
252,7.0,7.0
253,7.0,7.0
254,5.0,5.0
255,7.0,7.0
256,7.0,7.0
257,7.0,7.0
258,7.0,7.0
259,7.0,7.0
260,5.0,5.0
261,5.0,5.0
262,7.0,7.0
263,7.0,7.0
264,5.0,5.0
265,7.0,7.0
266,7.0,7.0
267,5.0,5.0
268,5.0,5.0
269,6.0,6.0
270,5.0,5.0
271,7.0,7.0
272,5.0,5.0
273,7.0,7.0
274,7.0,7.0
275,7.0,7.0
276,7.0,7.0
277,7.0,7.0
278,7.0,7.0
279,7.0,7.0
280,5.0,5.0
281,7.0,7.0
282,6.0,6.0
283,7.0,7.0
284,7.0,7.0
285,7.0,7.0
286,7.0,7.0
287,7.0,7.0
288,7.0,7.0
289,6.0,6.0
290,5.0,5.0
291,7.0,7.0
292,7.0,7.0
293,7.0,7.0
294,7.0,7.0
295,4.0,4.0
296,7.0,7.0
297,7.0,7.0
298,7.0,7.0
299,7.0,7.0
300,7.0,7.0
301,7.0,7.0
302,7.0,7.0
303,6.0,6.0
304,7.0,7.0
