episode,env_return,total_return,steps
0,2.0,56.429771894771875,400
1,1.0,52.48018306596933,400
2,7.0,69.23768190143184,400
3,4.0,64.90658341658333,400
4,4.0,70.83627051869692,400
5,0.0,44.70185269967391,400
6,4.0,71.33702380952367,400
7,4.0,62.51350982350974,400
8,4.0,64.99035714285706,400
9,5.0,61.30424613956733,400
10,2.0,51.306861471861495,400
11,3.0,58.079448051948,400
12,3.0,58.787644022644045,400
13,2.0,56.84582500832497,400
14,3.0,65.76145021645011,400
15,3.0,59.056026057276014,400
16,5.0,66.83714618714609,400
17,5.0,69.6555119880119,400
18,2.0,41.02379805907732,400
19,4.0,48.85434928939009,400
20,3.0,56.68376617190855,400
21,3.0,52.241948713051656,400
22,6.0,69.37507100310947,400
23,1.0,46.828882612485515,400
24,4.0,65.23866280133686,400
25,6.0,64.2695180159163,400
26,4.0,61.639418343558006,400
27,3.0,60.6296861471861,400
28,3.0,58.53937062937056,400
29,1.0,56.521655011655035,400
30,2.0,57.262177822177755,400
31,4.0,67.59213536463527,400
32,4.0,69.09834415584409,400
33,5.0,61.676425003855876,400
34,2.0,51.43778691896339,400
35,3.0,60.41298618048606,400
36,4.0,57.99604378464666,400
37,8.0,78.99274891774876,400
38,1.0,48.706962917595824,400
39,2.0,54.128974086251674,400
40,4.0,61.96976515055131,400
41,4.0,68.86357808857792,400
42,4.0,68.74963869463862,400
43,7.0,73.1429308191807,400
44,4.0,61.02293302285944,400
45,1.0,48.298286510960644,400
46,6.0,73.503679533468,400
47,6.0,67.95245195549045,400
48,5.0,68.89966033966024,400
49,5.0,63.81289960039955,400
50,7.0,72.1737749750249,400
51,5.0,71.4893073593072,400
52,4.0,67.38226856476848,400
53,5.0,71.1731277056276,400
54,5.0,71.64599691974678,400
55,4.0,63.16586288711285,400
56,3.0,59.93847735597734,400
57,4.0,66.13499583749577,400
58,5.0,63.94686376272347,400
59,3.0,52.050971496287715,400
60,1.0,48.602749272141644,400
61,5.0,60.29124081156196,400
62,3.0,57.58506344874443,400
63,2.0,54.940198257624694,400
64,2.0,54.60813436563437,400
