episode,env_return,total_return
0,2.0,55.42370683238332
1,1.0,45.747094908461264
2,5.0,66.55087882705521
3,6.0,71.57361471861459
4,4.0,68.7691666666666
5,4.0,61.91918510411146
6,3.0,65.59819930069925
7,2.0,62.21815541869401
8,2.0,53.87262903762903
9,4.0,57.936652640512435
10,3.0,57.78328046953044
11,2.0,53.25357098139218
12,1.0,54.90404678654677
13,1.0,59.7841733266733
14,6.0,81.84678571428552
15,5.0,69.1181689144188
16,5.0,68.49361471861461
17,5.0,63.89129245754234
18,2.0,39.6667387458416
19,5.0,65.38018743511387
20,5.0,65.82848942723933
21,4.0,62.78362176394289
22,5.0,71.50262987012974
23,3.0,54.559395139174526
24,5.0,61.89132986679488
25,5.0,72.574408091908
26,1.0,48.127610104034225
27,3.0,62.63632367632357
28,6.0,76.10359307359296
29,4.0,61.99115925740915
30,2.0,58.7217057942057
31,3.0,64.22392107892104
32,2.0,50.15130785880785
33,3.0,50.05573475296032
34,3.0,59.1689470088734
35,4.0,61.150757128578235
36,5.0,75.14607142857126
37,6.0,76.1323659673658
38,3.0,58.483300988227434
39,7.0,69.7110964035963
40,4.0,62.49415501165493
41,4.0,67.11096653346641
42,1.0,53.480436352862796
43,5.0,65.85688740181382
44,4.0,66.72893523143512
45,4.0,65.59284965034959
46,3.0,71.19398464502311
47,5.0,65.28090094035726
48,4.0,54.70645797056399
49,1.0,57.15203379953376
50,2.0,54.692099689526195
51,4.0,68.73499999999993
52,4.0,62.24703796203791
53,5.0,69.50381618381608
54,3.0,63.67940392940382
55,4.0,50.06233080393836
56,3.0,62.46672410922403
57,4.0,71.44335830835817
58,5.0,64.19132367632358
59,2.0,44.32784929449281
60,6.0,60.20490925740925
61,3.0,58.55644938394936
62,2.0,43.80257290439177
63,3.0,63.70291125541118
64,3.0,56.79020158762798
65,5.0,67.81661380286363
66,1.0,47.1823190225667
67,5.0,62.48848401598398
68,4.0,64.12728745332598
69,1.0,51.82087754737525
70,2.0,64.03230977355965
71,4.0,52.86775694893342
72,3.0,55.163852874421714
73,7.0,70.00538642528471
74,4.0,70.50630203130194
75,2.0,65.18990259740252
76,1.0,53.2851881142593
77,2.0,45.137010176300116
78,3.0,61.325911417014275
79,4.0,62.6973909423909
80,5.0,64.60704878454874
81,2.0,45.95536719343611
82,5.0,73.76858225108211
83,5.0,60.87631838749481
84,4.0,65.58702297702288
85,7.0,70.63655427905417
86,2.0,37.90162236266596
87,3.0,57.45312241679887
88,2.0,51.7360070012547
89,4.0,59.08659548784546
90,3.0,55.634758127579296
91,5.0,63.444314019313964
92,4.0,57.38058204444182
93,4.0,64.21879492411604
94,4.0,67.55223372216011
95,6.0,75.20907259407247
96,3.0,55.51919435705174
97,2.0,52.632514660262316
98,6.0,65.97136072261064
99,4.0,66.66105644355638
100,4.0,53.34389962336827
101,3.0,61.17773393273389
102,1.0,37.068499033642524
103,4.0,63.11783978276619
104,5.0,68.37910544692657
105,6.0,73.05498263990903
106,6.0,74.01069930069917
107,6.0,73.34560606060597
108,3.0,56.798559773559774
109,6.0,73.38252869034976
110,3.0,53.45258303792953
111,6.0,72.85567861060495
112,4.0,54.04876769212749
113,3.0,55.84547102407392
114,3.0,50.63946661181952
115,3.0,59.04026223776213
116,6.0,68.63242795774907
117,5.0,60.66352056180674
118,4.0,67.51176419169056
119,4.0,61.479002664002614
120,2.0,39.59895515449104
121,6.0,63.02424432978285
122,2.0,47.89387039180139
123,7.0,72.21105124622525
124,5.0,61.22948750295103
125,6.0,73.04260739260727
126,5.0,64.25453796203792
127,3.0,62.568473193473125
128,5.0,66.4093627206126
129,3.0,50.61490712718653
130,7.0,72.24168831168821
131,2.0,59.108893879976186
132,5.0,68.18503579753565
133,5.0,60.03677322677316
134,6.0,69.88159215784208
135,7.0,68.64871212121203
136,5.0,70.26164006371714
137,6.0,69.96194427476537
138,6.0,54.77101427854909
139,6.0,65.98711288711284
140,5.0,73.73704545454535
141,4.0,65.62928904428901
142,5.0,72.59773809523799
143,4.0,67.43737345987334
144,7.0,69.85251082251074
145,5.0,70.1423842823842
146,5.0,65.7252442857093
147,3.0,57.54875769663453
148,5.0,66.52361579596867
149,7.0,68.64989730857368
150,3.0,64.65159090909083
151,6.0,66.94213869463864
152,7.0,76.93254453879443
153,6.0,69.29014069264059
154,2.0,50.205670600521735
155,6.0,68.93277760809869
156,5.0,65.61881618381611
157,7.0,80.77368631368623
158,3.0,61.77229437229433
159,3.0,60.00307371550014
160,5.0,66.50868765393527
161,6.0,69.84975774225764
162,6.0,61.95970526377642
163,7.0,73.74360389610378
164,6.0,62.668026393556715
165,5.0,64.67744113297965
166,3.0,70.17978354978347
167,7.0,69.28226523476512
168,6.0,75.46843739593726
169,7.0,75.41584748584737
170,5.0,66.70513037787796
171,3.0,63.20338120213115
172,6.0,72.14118631368622
173,1.0,39.96071738228733
174,7.0,68.61664665571774
175,7.0,72.38304124796765
176,6.0,56.114150764937
177,4.0,72.75739510489498
178,6.0,72.19205249987361
179,5.0,69.3873889526366
180,6.0,68.33493506493498
181,7.0,72.30609307359296
182,6.0,71.91201631701625
183,4.0,54.949336640364244
184,6.0,73.20584415584409
185,7.0,70.04691142191132
186,5.0,67.63062770562766
187,7.0,71.55984527727168
188,5.0,74.58118631368622
189,6.0,73.62441142191132
190,7.0,73.85212076494186
191,3.0,57.56383824508823
192,7.0,65.81128607725104
193,7.0,70.7819539709515
194,5.0,60.68053984586099
195,7.0,80.35917748917727
196,7.0,69.9078247977512
197,6.0,70.91237678987672
198,7.0,76.83832584082572
199,7.0,72.93573593073575
200,4.0,60.797097695457424
201,7.0,68.95978687978678
202,6.0,68.83465700965692
203,7.0,66.67641691641684
204,7.0,74.96427072927061
205,7.0,67.7844442747654
206,4.0,73.12759419502056
207,4.0,64.5967057942057
208,7.0,63.23441808191797
209,6.0,66.74071012321004
210,1.0,39.04971629043013
211,3.0,56.316950763374884
212,6.0,55.91684007562632
213,7.0,70.46037596562354
214,7.0,66.93385985918097
215,7.0,65.13136318918431
216,7.0,63.48621218178099
217,7.0,72.10286047286037
218,7.0,63.76382469181992
219,3.0,48.733138591677076
220,7.0,63.99728379463668
221,7.0,57.8965159738408
222,4.0,51.06747678762286
223,7.0,63.00799197706309
224,7.0,64.5965887788681
225,7.0,66.38442928975039
226,5.0,61.70998873030987
227,7.0,59.08795101312507
228,7.0,63.43626535229467
229,3.0,47.35482377736454
230,7.0,59.300237813012515
231,7.0,64.09027760809875
232,5.0,65.22120462870461
233,7.0,59.59665621143556
234,7.0,63.45599516195867
235,7.0,54.55919848469379
236,7.0,53.577512254257584
237,7.0,61.10084867274102
238,7.0,70.1303539352803
239,7.0,60.40425235239469
240,7.0,65.07287084819195
241,7.0,65.6224429736929
242,6.0,71.18103575346208
243,7.0,59.52421353156643
244,7.0,58.490430103503435
245,7.0,58.66009642402504
246,7.0,60.38905793252152
